global_step,loss
32,0.067417
33,0.056903
34,0.047537
35,0.039521
36,0.034395
37,0.027643
38,0.022084
39,0.016603
40,0.011332
41,0.009164
42,0.006385
43,0.006576
44,0.005994
45,0.005745
46,0.004583
47,0.003778
48,0.002439
49,0.001702
50,0.001547
51,0.001576
52,0.001639
53,0.001795
54,0.002
55,0.002365
56,0.00218
57,0.001888
58,0.00165
59,0.001576
60,0.00143
61,0.0009
62,0.0006
63,0.000353
64,0.000214
65,6.272707
66,0.000253
67,6.240449
68,0.001204
69,6.20022
70,6.177536
71,0.006984
72,6.134546
73,6.115958
74,0.016228
75,6.083894
76,0.019425
77,6.048874
78,6.041735
79,0.032902
80,0.030452
81,6.004653
82,0.03858
83,0.026475
84,5.981138
85,5.970603
86,5.957381
87,0.046899
88,0.061235
89,0.046843
90,0.050432
91,5.912616
92,0.027578
93,0.02892
94,5.886425
95,0.021342
96,5.872519
97,0.016581
98,0.012218
99,0.013683
100,0.01086
101,0.046311
102,0.035689
103,5.894832
104,0.02873
105,5.862468
106,0.019718
107,0.01808
108,0.01586
109,5.77639
110,5.754601
111,0.018676
112,0.0226
113,0.020279
114,0.019765
115,0.02352
116,5.63815
117,0.012809
118,0.012431
119,0.014802
120,5.578182
121,0.00903
122,0.011142
123,0.00582
124,0.007258
125,0.00494
126,0.010764
127,0.007134
128,0.010593
129,5.456189
130,0.005556
131,5.397929
132,5.357684
133,0.012839
134,0.009005
135,5.227346
136,0.011865
137,0.01858
138,0.010678
139,0.011684
140,0.009371
141,0.008524
142,0.004615
143,5.003178
144,0.003299
145,0.006328
146,4.822198
147,0.016975
148,0.024475
149,0.030586
150,0.014028
151,0.007423
152,0.003792
153,0.004892
154,0.008154
155,0.008715
156,0.012956
157,0.0073
158,0.004405
159,0.003235
160,4.46825
161,0.007131
162,0.015141
163,0.017386
164,0.026263
165,0.016259
166,0.006502
167,0.004534
168,0.005947
169,4.258849
170,0.008248
171,0.003169
172,0.008146
173,0.005107
174,0.003707
175,0.01447
176,0.005252
177,0.004783
178,0.004608
179,0.003831
180,263.396759
181,0.098955
182,0.119199
183,0.094588
184,0.34859
185,1.545218
186,263.134125
187,0.075761
188,0.119704
189,0.128971
190,0.339935
191,0.089378
192,0.077707
193,0.070499
194,262.35791
195,1.438862
196,0.034996
197,0.37251
198,0.035342
199,1.457935
200,1.487631
201,0.041795
202,1.384239
203,265.202606
204,1.39555
205,0.090645
206,0.165386
207,0.205266
208,260.057892
209,0.167228
210,1.379704
211,1.461655
212,4.502636
213,0.142302
214,4.231434
215,4.064101
216,0.075007
217,0.044735
218,0.060974
219,1.394349
220,0.102231
221,0.051789
222,0.041298
223,259.250702
224,0.147314
225,0.303154
226,0.140749
227,0.047406
228,0.043874
229,0.055548
230,0.035872
231,0.149619
232,257.954346
233,3.572109
234,0.109324
235,0.054916
236,0.09995
237,257.089783
238,0.412018
239,0.203238
240,0.235616
241,0.203447
242,0.089871
243,0.062733
244,0.37258
245,0.052483
246,0.106993
247,0.213396
248,0.072503
249,0.169724
250,3.417723
251,257.305878
252,1.657542
253,0.121908
254,0.082609
255,0.346612
256,0.199609
257,0.136912
258,254.583832
259,1.381676
260,0.103134
261,254.398666
262,0.087894
263,1.341078
264,1.337907
265,254.045898
266,3.174596
267,0.286328
268,2.93731
269,252.826523
270,0.162808
271,0.182761
272,0.094954
273,2.66848
274,0.097375
275,0.047668
276,0.079501
277,0.046299
278,0.120285
279,0.181175
280,0.078825
281,0.125328
282,0.149444
283,2.477954
284,0.056029
285,0.030066
286,0.087033
287,1.364949
288,1.397629
289,0.051325
290,0.072793
291,0.101055
292,0.114823
293,0.094066
294,0.204721
295,0.051275
296,254.50827
297,1.311599
298,0.052699
299,2.160352
300,0.023105
301,0.186844
302,0.086682
303,2.397872
304,249.153763
305,2.48473
306,0.300557
307,0.134793
308,0.115508
309,248.325653
310,0.104779
311,0.291131
312,1.898493
313,1.591763
314,0.095187
315,0.224133
316,0.543473
317,0.111452
318,3.042232
319,0.319269
320,1.465663
321,0.553946
322,1.406752
323,245.745682
324,1.788543
325,245.72258
326,0.780483
327,242.88765
328,1.366666
329,0.30878
330,240.901535
331,0.324525
332,0.285005
333,0.238303
334,2.016804
335,0.727626
336,0.267674
337,0.114757
338,0.29365
339,1.509308
340,0.071714
341,1.468122
342,0.611713
343,0.134245
344,0.220824
345,0.334598
346,0.182208
347,1.376841
348,0.544634
349,0.05967
350,1.114376
351,240.946793
352,0.483293
353,1.83491
354,0.262346
355,0.520078
356,0.056476
357,1.31918
358,0.19517
359,0.270484
360,0.073994
361,1.837239
362,0.124093
363,0.166207
364,0.179536
365,0.079269
366,1.116935
367,0.098821
368,0.573506
369,0.124292
370,0.11639
371,0.218999
372,0.244689
373,1.168715
374,0.105723
375,0.110206
376,0.4199
377,0.098768
378,0.114258
379,0.074232
380,0.137659
381,0.309497
382,1.566526
383,0.096397
384,0.053582
385,1.28875
386,0.296371
387,0.680367
388,0.136877
389,237.522308
390,1.022272
391,0.220511
392,236.159653
393,0.292417
394,0.180338
395,0.305281
396,234.275497
397,2.090344
398,0.387999
399,0.062383
400,0.136756
401,0.794335
402,0.563907
403,235.593811
404,235.194443
405,0.717358
406,0.650071
407,0.270325
408,0.482096
409,0.133305
410,1.709156
411,0.757397
412,233.65921
413,0.148753
414,4.482255
415,0.637568
416,0.342939
417,0.590106
418,0.402141
419,1.317226
420,0.229746
421,0.470367
422,0.932466
423,0.122346
424,0.163952
425,0.520099
426,0.336352
427,0.701863
428,0.824289
429,0.740232
430,4.839321
431,0.11121
432,0.422927
433,0.182137
434,0.209836
435,0.275724
436,0.172233
437,1.460889
438,1.347221
439,4.197389
440,1.244056
441,0.964838
442,0.553397
443,1.017984
444,0.730759
445,0.322622
446,1.394961
447,0.790477
448,0.40305
449,0.166635
450,0.546349
451,1.527292
452,0.408293
453,1.278812
454,0.75252
455,0.385107
456,0.363015
457,0.249305
458,0.208434
459,0.137093
460,0.675611
461,0.132679
462,0.10759
463,0.235617
464,0.430954
465,0.515234
466,0.297489
467,0.145743
468,0.226078
469,0.184182
470,0.352245
471,0.266385
472,0.653553
473,0.283759
474,0.194105
475,0.150177
476,0.125705
477,0.589234
478,0.552355
479,3.972048
480,0.134629
481,0.214276
482,3.743117
483,3.84087
484,0.54881
485,1.583771
486,227.463028
487,0.320722
488,0.283557
489,0.254291
490,2.033645
491,0.259255
492,0.196525
493,0.65843
494,0.300176
495,0.813808
496,229.438232
497,1.363702
498,1.860017
499,227.23996
500,0.640858
501,1.645913
502,1.199805
503,1.203049
504,0.328584
505,6.631667
506,0.834739
507,1.984435
508,6.169981
509,0.594614
510,0.350785
511,0.522048
512,220.756653
513,0.676643
514,1.953002
515,1.42302
516,0.427763
517,0.452305
518,1.229144
519,0.230687
520,0.339994
521,0.248758
522,1.220777
523,1.276241
524,1.50951
525,1.93574
526,0.258657
527,0.879015
528,1.991555
529,0.344192
530,13.550023
531,0.555844
532,0.182808
533,0.276402
534,0.408695
535,0.768377
536,0.765422
537,0.908782
538,0.16082
539,1.64265
540,0.190999
541,0.308
542,0.417257
543,217.787872
544,0.406516
545,2.180205
546,0.37952
547,2.379924
548,0.294129
549,217.084366
550,1.146282
551,1.615163
552,0.340156
553,0.243246
554,0.337474
555,2.245446
556,0.522123
557,2.992537
558,0.547194
559,0.719605
560,12.840569
561,1.172318
562,0.437331
563,0.421937
564,1.329175
565,0.358595
566,1.514021
567,0.334968
568,0.35851
569,0.793363
570,0.69378
571,0.313712
572,0.469347
573,0.260559
574,4.892771
575,214.397507
576,15.330597
577,1.405897
578,2.124554
579,0.537994
580,0.154491
581,0.17977
582,0.6541
583,0.499365
584,1.060968
585,0.352304
586,0.27909
587,222.345978
588,2.125929
589,219.546387
590,0.773373
591,6.379945
592,0.318905
593,1.499891
594,3.590847
595,12.720119
596,1.055164
597,0.830463
598,0.409881
599,0.093057
600,211.942627
601,0.563624
602,0.597559
603,1.214112
604,2.374361
605,1.205843
606,13.239424
607,0.966726
608,0.694271
609,0.914901
610,0.504597
611,0.415424
612,0.636778
613,2.718421
614,14.142
615,1.13631
616,1.128752
617,0.672086
618,0.682528
619,0.481537
620,1.438386
621,0.541118
622,0.734634
623,0.974252
624,1.905608
625,1.233709
626,0.712054
627,0.905174
628,0.825774
629,0.575317
630,1.838385
631,0.64731
632,0.490142
633,0.326656
634,0.473354
635,2.656982
636,1.521115
637,0.860234
638,0.900313
639,0.693924
640,5.306588
641,1.669514
642,1.277385
643,0.374808
644,0.685934
645,0.920744
646,0.73342
647,1.033834
648,0.621106
649,0.152828
